X,Y,OBJECTID,NAME,ADDRESS,ID,ZIPCODE,WARD
-77.0047230320272,38.8871010263148,221,Library of Congress(Money Pass),101 INDEPENDENCE AVENUE SE,30,20540,6
-77.0076273778915,38.9010798807849,222,Democracy FCU(Money Pass),830 1ST STREET NE,31,20002,6
-77.0094695731307,38.8999236130912,223,Govt. Printing office FCU(Money Pass),732 NORTH CAPITOL STREET NW,32,20401,6
-77.0163722042845,38.885430180403,224,Democracy FCU(Money Pass),330 C STREET SW,33,20201,6
-77.0155865398516,38.8846138580362,225,Lafyette FCU(Money Pass),409 3RD STREET SW,34,20024,6
-77.0143967378332,38.8868833125656,226,Democracy FCU(Money Pass),200 INDEPENDENCE AVENUE SW,35,20201,6
-77.0187299787724,38.886492544993,227,Democracy FCU(Money Pass),400 MARYLAND AVENUE SW,36,20202,6
-77.0247498637348,38.8850587311434,228,Democracy FCU(Money Pass),901 D STREET SW,37,20024,6
-77.0275108653013,38.8832668859475,229,Democracy FCU(Money Pass),550 12TH STREET SW,38,20024,6
-77.0222095262428,38.9119086675452,230,7-Eleven(Allpoint),1622 7TH STREET NW,39,20001,6
-77.0205143910999,38.9059767114118,231,Saints Paradise Cafeteria(Allpoint),601 M STREET NW,40,20001,6
-77.0293535739733,38.8846991310849,232,CVS(Allpoint),1201 MARYLAND AVENUE SW,41,20024,6
-77.0063579751107,38.9060949978254,233,CVS(Allpoint),1200 1ST STREET NE,42,20002,6
-77.0054945492568,38.9060230649165,234,Harris Teeter(Allpoint),1201 1ST STREET NE,43,20002,6
-77.0032784897638,38.9077038358603,235,7-Eleven(Allpoint),1315 2ND STREET NE,44,20002,6
-76.9964558657389,38.8999822274486,236,CVS(Allpoint),645 H STREET NE,45,20002,6
-76.9959149658649,38.899931402644,237,J&V Pawn Shop(Allpoint),703 H STREET NE,46,20002,6
-76.994557858474,38.9000567437065,238,CVS(Allpoint),801 H STREET NE,47,20002,6
